Раздел Меню;Ссылка;Группа;Ссылка;Анализ;Ссылка;Наименование;Ссылка;Артикул;Цена;Акция;Готовность
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;Белковые фракции (Serum Protein Electrophoresis, SPE);https://www.invitro.ru/analizes/for-doctors/samara/482/2208/;29;390;Без акции;1 рабочий день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;М-градиент, скрининг. Электрофорез сыворотки и иммунофиксация с поливалентной антисывороткой и количественной оценкой М-градиента;https://www.invitro.ru/analizes/for-doctors/samara/482/13953/;4050;2 525;Без акции;до 12 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;М-градиент, типирование. Электрофорез сыворотки крови и иммунофиксация с панелью антисывороток (IgG/A/M/каппа/лямбда) c количественной оценкой М-градиента;https://www.invitro.ru/analizes/for-doctors/samara/482/13934/;4051;4 675;Без акции;до 12 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;Свободные легкие цепи иммуноглобулинов каппа и лямбда сыворотки с расчетом индекса каппа/лямбда (Serum immunoglobu-lin free light chains (FLC, sFLC) kappa and lambda, kappa/ lambda ratio);https://www.invitro.ru/analizes/for-doctors/samara/482/50713/;1539;2 355;Без акции;до 10 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;Аминокислоты в плазме крови, скрининговое исследование 13 показателей (Amino Acids Analysis, Plasma, 13 parameters);https://www.invitro.ru/analizes/for-doctors/samara/482/67293/;1689;5 200;Без акции;до 5 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;Аминокислоты в плазме крови, 48 показателей (Amino Acids Analysis, Plasma, 48 parameters);https://www.invitro.ru/analizes/for-doctors/samara/482/67294/;1690;7 865;Без акции;до 5 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Желчные пигменты и кислоты;https://www.invitro.ru/analizes/for-doctors/samara/484/;Билирубин общий (Bilirubin total);https://www.invitro.ru/analizes/for-doctors/samara/484/2219/;13;200;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Желчные пигменты и кислоты;https://www.invitro.ru/analizes/for-doctors/samara/484/;"Билирубин прямой (Билирубин конъюгированный, связанный; Bilirubin direct)";https://www.invitro.ru/analizes/for-doctors/samara/484/2220/;14;200;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Желчные пигменты и кислоты;https://www.invitro.ru/analizes/for-doctors/samara/484/;Желчные кислоты (Bile Acids);https://www.invitro.ru/analizes/for-doctors/samara/484/35157/;1512BILE;2 900;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Триглицериды (Triglycerides);https://www.invitro.ru/analizes/for-doctors/samara/485/2215/;30;225;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Холестерин общий (холестерин, Cholesterol total);https://www.invitro.ru/analizes/for-doctors/samara/485/2216/;31;220;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Холестерин-ЛПВП (Холестерин липопротеинов высокой плотности, HDL Cholesterol);https://www.invitro.ru/analizes/for-doctors/samara/485/2217/;32;245;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Холестерин-ЛПНП (Холестерин липопротеинов низкой плотности, ЛПНП, Cholesterol LDL);https://www.invitro.ru/analizes/for-doctors/samara/485/2218/;33;225;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Холестерин - ЛПОНП (Холестерин липопротеинов очень низкой плотности, ЛПОНП, VLDL Cholesterol);https://www.invitro.ru/analizes/for-doctors/samara/485/2493/;218;435;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Аполипопротеин А1 (Apolipoprotein A-1);https://www.invitro.ru/analizes/for-doctors/samara/485/2494/;219;685;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Аполипопротеин В (Apolipoprotein B);https://www.invitro.ru/analizes/for-doctors/samara/485/2495/;220;510;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Липопротеин (a) (Lipoprotein (a), Lp(a));https://www.invitro.ru/analizes/for-doctors/samara/485/3072/;1071;1 010;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Липиды;https://www.invitro.ru/analizes/for-doctors/samara/485/;Холестерин липопротеидов низкой плотности, прямой метод (Холестерин ЛПНП, прямой метод, LDL-cholesterol direct);https://www.invitro.ru/analizes/for-doctors/samara/485/56636/;1644;285;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;АлАТ (АЛТ, Аланинаминотрансфераза, аланинтрансаминаза, SGPT, Alanine aminotransferase);https://www.invitro.ru/analizes/for-doctors/samara/486/2222/;8;200;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;АсАТ (АСТ, аспартатаминотрансфераза, AST, SGOT, Aspartate aminotransferase);https://www.invitro.ru/analizes/for-doctors/samara/486/2223/;9;200;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;Альфа-Амилаза (Диастаза, Alpha-Amylase);https://www.invitro.ru/analizes/for-doctors/samara/486/2224/;11;225;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;Альфа-Амилаза панкреатическая (Pancreatic Alpha-amylase, P-изофермент амилазы);https://www.invitro.ru/analizes/for-doctors/samara/486/2225/;12;325;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;Гамма-глутамилтранспептидаза (ГГТ, глутамилтранспептидаза, GGT, Gamma-glutamyl transferase);https://www.invitro.ru/analizes/for-doctors/samara/486/2226/;15;205;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;Липаза (Триацилглицеролацилгидролаза, Lipase);https://www.invitro.ru/analizes/for-doctors/samara/486/2229/;23;390;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;Лактатдегидрогеназа (ЛДГ, L-лактат, НАД+Оксидоредуктаза, Lactate Dehydrogenase, LDH);https://www.invitro.ru/analizes/for-doctors/samara/486/2230/;24;205;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;Фосфатаза щёлочная (ЩФ, Alkaline phosphatase, ALP);https://www.invitro.ru/analizes/for-doctors/samara/486/2234/;36;205;Без акции;1 рабочий день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;Креатинкиназа (Креатинфосфокиназа, КК, КФК, CK, Creatine kinaze);https://www.invitro.ru/analizes/for-doctors/samara/486/2227/;19;305;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Ферменты;https://www.invitro.ru/analizes/for-doctors/samara/486/;Креатинкиназа-МВ (Креатинфосфокиназа-МВ, КК-МВ, КФК-МВ, Creatine Kinase-MB, CK-MB, КК-2);https://www.invitro.ru/analizes/for-doctors/samara/486/2228/;20;400;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Маркеры функции почек;https://www.invitro.ru/analizes/for-doctors/samara/2368/;Креатинин (в крови) (Creatinine);https://www.invitro.ru/analizes/for-doctors/samara/2368/2209/;22;205;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Маркеры функции почек;https://www.invitro.ru/analizes/for-doctors/samara/2368/;Клубочковая фильтрация, расчет по формуле CKD-EPI – креатинин (eGFR, Estimated Glomerular Filtration Rate, CKD-EPI creatinine equation);https://www.invitro.ru/analizes/for-doctors/samara/2368/28340/;40CKDEPI;245;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Маркеры функции почек;https://www.invitro.ru/analizes/for-doctors/samara/2368/;Мочевина (в крови) (Urea);https://www.invitro.ru/analizes/for-doctors/samara/2368/2210/;26;210;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Маркеры функции почек;https://www.invitro.ru/analizes/for-doctors/samara/2368/;Мочевая кислота (в крови) (Uric acid);https://www.invitro.ru/analizes/for-doctors/samara/2368/2211/;27;205;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Маркеры функции почек;https://www.invitro.ru/analizes/for-doctors/samara/2368/;Цистатин С (Cystatin C);https://www.invitro.ru/analizes/for-doctors/samara/2368/36335/;1525;810;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Маркеры функции почек;https://www.invitro.ru/analizes/for-doctors/samara/2368/;Клубочковая фильтрация, расчет по формуле CKD-EPI цистатин С (2012) (eGFR, Estimated Glomerular Filtration Rate, CKD-EPI cystatin C (2012) equation);https://www.invitro.ru/analizes/for-doctors/samara/2368/36336/;1526;855;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Неорганические вещества/электролиты:;https://www.invitro.ru/analizes/for-doctors/samara/2571/;Калий, натрий, хлор в сыворотке крови (К+, Potassium, Na+, Sodium, Сl-, Chloride, Serum);https://www.invitro.ru/analizes/for-doctors/samara/2571/2920/;39;295;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Неорганические вещества/электролиты:;https://www.invitro.ru/analizes/for-doctors/samara/2571/;Кальций общий (Ca, Calcium total);https://www.invitro.ru/analizes/for-doctors/samara/2571/2962/;37;230;https://www.invitro.ru/samara/ak/kogda-vse-krasivo-05-07-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Неорганические вещества/электролиты:;https://www.invitro.ru/analizes/for-doctors/samara/2571/;Кальций ионизированный (Ca2+, свободный кальций, Free calcium, Ionized calcium);https://www.invitro.ru/analizes/for-doctors/samara/2571/2941/;165;465;Без акции;до 2 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Неорганические вещества/электролиты:;https://www.invitro.ru/analizes/for-doctors/samara/2571/;"Магний в сыворотке (Magnesium, Serum; Мg)";https://www.invitro.ru/analizes/for-doctors/samara/2571/2921/;40;260;https://www.invitro.ru/samara/ak/kogda-vse-krasivo-05-07-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Неорганические вещества/электролиты:;https://www.invitro.ru/analizes/for-doctors/samara/2571/;Фосфор неорганический в крови (Phosphorus, P);https://www.invitro.ru/analizes/for-doctors/samara/2571/2922/;41;255;https://www.invitro.ru/samara/ak/kogda-vse-krasivo-05-07-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Неорганические вещества/электролиты:;https://www.invitro.ru/analizes/for-doctors/samara/2571/;"Железо сыворотки (Iron, serum; Fe)";https://www.invitro.ru/analizes/for-doctors/samara/2571/2923/;48;245;https://www.invitro.ru/samara/ak/kogda-vse-krasivo-05-07-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;25­OH витамин D (25­OH Vitamin D, 25(OH) D, 25­Hydroxycalciferol);https://www.invitro.ru/analizes/for-doctors/samara/487/2849/;928;2 065;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Фолиевая кислота (Folic Acid);https://www.invitro.ru/analizes/for-doctors/samara/487/2249/;118;1 130;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Витамин B12 (цианокобаламин, кобаламин, Cobalamin);https://www.invitro.ru/analizes/for-doctors/samara/487/2248/;117;885;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Бета-каротин в сыворотке (Beta-carotene, Serum);https://www.invitro.ru/analizes/for-doctors/samara/487/55099/;1615;2 565;Без акции;до 4 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Витамин В1 – тиамин, плазма (Vitamin B1, Thiamine, plasma);https://www.invitro.ru/analizes/for-doctors/samara/487/55100/;1604;2 565;Без акции;до 4 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Витамин В2 – рибофлавин, плазма (Vitamin B2, Riboflavin, plasma);https://www.invitro.ru/analizes/for-doctors/samara/487/55101/;1609;2 565;Без акции;до 4 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Витамин В3 – никотинамид, плазма (Витамин PP, ниацин, Vitamin B3 – Nicotinamide, Niacinamide, plasma);https://www.invitro.ru/analizes/for-doctors/samara/487/55102/;1610;2 565;Без акции;до 4 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Витамин В5 – пантотеновая кислота (Vitamin B5, Pantothenic acid);https://www.invitro.ru/analizes/for-doctors/samara/487/55103/;1608;2 565;Без акции;до 4 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Витамин B6, пиридоксаль-5-фосфат, плазма (Vitamin B6, Pyridoxal-5-Phosphate, PLP);https://www.invitro.ru/analizes/for-doctors/samara/487/55104/;1605;2 565;Без акции;до 4 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Витамины;https://www.invitro.ru/analizes/for-doctors/samara/487/;Витамин В7 – биотин (витамин H, Vitamin B7, Biotin, Vitamin H);https://www.invitro.ru/analizes/for-doctors/samara/487/55105/;1611;2 565;Без акции;до 4 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки, участвующие в обмене железа;https://www.invitro.ru/analizes/for-doctors/samara/2572/;Трансферрин (Сидерофилин, Transferrin);https://www.invitro.ru/analizes/for-doctors/samara/2572/2243/;50;565;https://www.invitro.ru/samara/ak/esli-eto-anemiya-06-07-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки, участвующие в обмене железа;https://www.invitro.ru/analizes/for-doctors/samara/2572/;Латентная (ненасыщенная) железосвязывающая способность сыворотки крови (ЛЖСС, НЖСС, Unsaturated Iron Binding Capacity, UIBC);https://www.invitro.ru/analizes/for-doctors/samara/2572/2244/;49;576;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки, участвующие в обмене железа;https://www.invitro.ru/analizes/for-doctors/samara/2572/;Ферритин (Ferritin);https://www.invitro.ru/analizes/for-doctors/samara/2572/2245/;51;520;https://www.invitro.ru/samara/ak/kogda-vse-krasivo-05-07-2023-rf/;1 рабочий день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки, участвующие в обмене железа;https://www.invitro.ru/analizes/for-doctors/samara/2572/;Церулоплазмин (Coeruloplasmin);https://www.invitro.ru/analizes/for-doctors/samara/2572/2644/;840;765;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки, участвующие в обмене железа;https://www.invitro.ru/analizes/for-doctors/samara/2572/;Гаптоглобин (Haptoglobin);https://www.invitro.ru/analizes/for-doctors/samara/2572/2645/;841;745;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки, участвующие в обмене железа;https://www.invitro.ru/analizes/for-doctors/samara/2572/;Растворимые рецепторы трансферрина (рТФР, Soluble Transferrin Receptor, sTfR);https://www.invitro.ru/analizes/for-doctors/samara/2572/54635/;1595STFR;1 995;Без акции;до 9 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки, участвующие в обмене железа;https://www.invitro.ru/analizes/for-doctors/samara/2572/;Гепсидин 25 (биоактивный) (Hepcidin 25, bioactive);https://www.invitro.ru/analizes/for-doctors/samara/2572/54673/;1566;7 025;Без акции;до 7 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Кардиоспецифичные белки;https://www.invitro.ru/analizes/for-doctors/samara/492/;Миоглобин (Myoglobin);https://www.invitro.ru/analizes/for-doctors/samara/492/2239/;21;620;Без акции;до 3 календарных дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Кардиоспецифичные белки;https://www.invitro.ru/analizes/for-doctors/samara/492/;Тропонин-I, высокочувствительный (Troponin-I, high sensitivity, hs-TnI);https://www.invitro.ru/analizes/for-doctors/samara/492/2247/;157;735;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Кардиоспецифичные белки;https://www.invitro.ru/analizes/for-doctors/samara/492/;Натрийуретического гормона (В-типа) N-концевой пропептид (NT-proBNP, N-Terminal Pro-brain Natriuretic Peptide, Pro-B-Type Natriuretic Peptide);https://www.invitro.ru/analizes/for-doctors/samara/492/17958/;1631;3 295;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Маркёры воспаления;https://www.invitro.ru/analizes/for-doctors/samara/2569/;Эозинофильный катионный белок (Eosinophil Cationic Protein, ECP);https://www.invitro.ru/analizes/for-doctors/samara/2569/2721/;948;1 010;Без акции;до 4 календарных дней
